epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,132630,1.48439,1.78213,0.01644,0.65573,0.52793,0.59409,0.37057,1.10889,1.16954,0.01608,0.00492625,0.00492625,0.00492625
43,135751,1.48637,1.78238,0.01669,0.65684,0.52977,0.59565,0.37197,1.10784,1.16508,0.01606,0.0048025,0.0048025,0.0048025
44,138866,1.45698,1.75837,0.01617,0.65895,0.53091,0.59735,0.37333,1.10665,1.15996,0.01603,0.00467875,0.00467875,0.00467875
45,141978,1.47005,1.77041,0.01613,0.65837,0.53202,0.59915,0.37486,1.10487,1.15564,0.016,0.004555,0.004555,0.004555
46,145087,1.46922,1.76171,0.01601,0.66046,0.53254,0.60084,0.37629,1.10244,1.15308,0.01594,0.00443125,0.00443125,0.00443125
47,148221,1.46691,1.75388,0.01623,0.66384,0.53375,0.60267,0.37797,1.10124,1.14875,0.01592,0.0043075,0.0043075,0.0043075
48,151343,1.46585,1.72797,0.01613,0.66049,0.53761,0.60407,0.37944,1.0993,1.14544,0.01587,0.00418375,0.00418375,0.00418375
49,154457,1.46229,1.75624,0.01619,0.66472,0.53731,0.60559,0.38062,1.09751,1.14238,0.01583,0.00406,0.00406,0.00406
50,157579,1.45707,1.73498,0.01587,0.66683,0.53642,0.60646,0.38155,1.09723,1.1387,0.01582,0.00393625,0.00393625,0.00393625
51,160696,1.45548,1.69753,0.01591,0.67025,0.5371,0.6081,0.38302,1.09527,1.13525,0.01577,0.0038125,0.0038125,0.0038125
52,163817,1.42936,1.68584,0.01566,0.6681,0.54041,0.61003,0.38449,1.09368,1.13106,0.01574,0.00368875,0.00368875,0.00368875
53,166944,1.43066,1.69,0.01584,0.66706,0.54188,0.61101,0.38539,1.09165,1.12844,0.01569,0.003565,0.003565,0.003565
54,170089,1.4389,1.69922,0.01557,0.66659,0.54439,0.61221,0.38653,1.09,1.12464,0.01566,0.00344125,0.00344125,0.00344125
55,173188,1.44133,1.6933,0.01574,0.66999,0.54348,0.61358,0.38756,1.08896,1.12091,0.01563,0.0033175,0.0033175,0.0033175
56,176305,1.42902,1.67065,0.01548,0.66926,0.54484,0.61454,0.38837,1.08869,1.11709,0.01561,0.00319375,0.00319375,0.00319375
